ProductID,Tier,TierLabel
EJL-984-QG3,1,Mid Performer / Stable
PTB-862-EF8,1,Mid Performer / Stable
IMG-236-RU7,1,Mid Performer / Stable
IMG-327-IQ6,1,Mid Performer / Stable
PSX-428-YX1,1,Mid Performer / Stable
EJG-069-LK9,1,Mid Performer / Stable
EJF-779-OM5,1,Mid Performer / Stable
UTJ-211-FV2,1,Mid Performer / Stable
EJD-478-CU8,1,Mid Performer / Stable
EJD-315-ER2,1,Mid Performer / Stable
UTK-206-IQ0,1,Mid Performer / Stable
PTL-372-JE1,1,Mid Performer / Stable
IMJ-217-LI5,1,Mid Performer / Stable
EKA-537-XP0,1,Mid Performer / Stable
PTM-129-XG1,1,Mid Performer / Stable
EKV-372-YC1,1,Mid Performer / Stable
IKZ-015-VA1,1,Mid Performer / Stable
PTW-094-KX5,1,Mid Performer / Stable
EKT-105-OE3,1,Mid Performer / Stable
PTV-792-TU3,1,Mid Performer / Stable
URO-647-GL0,1,Mid Performer / Stable
ILC-353-WA0,1,Mid Performer / Stable
ILC-463-YN5,1,Mid Performer / Stable
ILC-957-IU5,1,Mid Performer / Stable
URP-786-TA7,1,Mid Performer / Stable
URR-205-GT6,1,Mid Performer / Stable
URS-743-QB2,1,Mid Performer / Stable
PTV-040-FS5,1,Mid Performer / Stable
PTS-265-BK2,1,Mid Performer / Stable
EKK-364-UF9,1,Mid Performer / Stable
PTQ-174-LC5,1,Mid Performer / Stable
USC-846-TS4,1,Mid Performer / Stable
EKJ-238-QF6,1,Mid Performer / Stable
ILQ-084-NL8,1,Mid Performer / Stable
ILS-407-EQ5,1,Mid Performer / Stable
EKB-637-ZY6,1,Mid Performer / Stable
USK-986-WZ3,1,Mid Performer / Stable
EJC-588-VR5,1,Mid Performer / Stable
PST-335-QB0,1,Mid Performer / Stable
EIX-694-JQ4,1,Mid Performer / Stable
PSD-668-UE5,1,Mid Performer / Stable
UUJ-259-ZW1,1,Mid Performer / Stable
PSA-388-JR3,1,Mid Performer / Stable
EIB-242-VO8,1,Mid Performer / Stable
INI-391-FH0,1,Mid Performer / Stable
UUT-830-ME8,1,Mid Performer / Stable
EHZ-128-MN0,1,Mid Performer / Stable
EHY-147-QH1,1,Mid Performer / Stable
EHY-096-BM5,1,Mid Performer / Stable
EHX-994-DD6,1,Mid Performer / Stable
INP-847-RF4,1,Mid Performer / Stable
UUZ-892-WE8,1,Mid Performer / Stable
EHR-475-AS6,1,Mid Performer / Stable
PRV-195-XV1,1,Mid Performer / Stable
EHQ-974-UW3,1,Mid Performer / Stable
PRT-834-KI0,1,Mid Performer / Stable
UVE-527-RG3,1,Mid Performer / Stable
UVF-150-PV6,1,Mid Performer / Stable
EHN-348-GH5,1,Mid Performer / Stable
INS-337-KO1,1,Mid Performer / Stable
EHL-354-RD0,1,Mid Performer / Stable
IMZ-995-ZK1,1,Mid Performer / Stable
UUH-457-MF5,1,Mid Performer / Stable
EIE-687-TJ7,1,Mid Performer / Stable
UUF-373-ZA7,1,Mid Performer / Stable
UTP-255-YH7,1,Mid Performer / Stable
UTP-432-NS9,1,Mid Performer / Stable
UTQ-175-RC8,1,Mid Performer / Stable
EIV-632-WG2,1,Mid Performer / Stable
UTQ-828-VN1,1,Mid Performer / Stable
IMM-985-EY2,1,Mid Performer / Stable
UTU-016-GB6,1,Mid Performer / Stable
PSR-679-EE5,1,Mid Performer / Stable
IMP-561-AL1,1,Mid Performer / Stable
UTW-632-IT6,1,Mid Performer / Stable
UVI-441-NG4,1,Mid Performer / Stable
EIO-688-GN6,1,Mid Performer / Stable
EIM-437-XJ6,1,Mid Performer / Stable
EIM-100-ZR3,1,Mid Performer / Stable
IMR-567-BI1,1,Mid Performer / Stable
EIJ-896-KI9,1,Mid Performer / Stable
IMS-908-ER5,1,Mid Performer / Stable
EIJ-405-QF4,1,Mid Performer / Stable
PSJ-993-LO9,1,Mid Performer / Stable
